;;;;;;;;;;;;;;;;
;;;;;;;;evento que causou as avarias;;idade da pessoaa que morreu, no caso de 1 fatalidade;;;;;;
;estado;cidade;area_da_industria;area_especifica;cod_CNAE;processo;processo_especifico;evento;evento_especifico;idade*;vitimas;fatalidades;grau;mês;ano;url
;MG;Uberlândia;Alimentos;Frigorífico;C10;NaN;NaN;Vazamento;Vazamento de amônia;NaN;1;0;2;12;2019;https://g1.globo.com/mg/triangulo-mineiro/noticia/2019/12/23/mais-um-vazamento-de-amonia-e-registrado-em-fabrica-da-brf-em-uberlandia.ghtml
;SC;Orleans;Plásticos;NaN;C22;Armazenamento;Setor de carga e descarga;Queda de objeto;A empilhadeira virou e pressionou o tórax da vítima;21;1;1;4;3;2018;https://g1.globo.com/sc/santa-catarina/noticia/jovem-morre-em-acidente-com-empilhadeira-em-orleans.ghtml
;SP;São Paulo;Plásticos;NaN;C22;Armazenamento;NaN;Batida entre veículos;Vítima perdeu o controle do veículo. Morreu de Parada cadiaca;70;1;1;4;5;2018;https://g1.globo.com/sp/sao-paulo/noticia/homem-morre-em-acidente-com-empilhadeira-em-empresa-na-zona-oeste-de-sp.ghtml
;SP;Campinas;Metalurgia;NaN;C24;Produção;NaN;Aprisionamento em máquina;um fio prensou a vítima no equipamento;33;1;1;4;1;2018;https://g1.globo.com/sp/campinas-regiao/noticia/funcionario-de-metalurgica-de-campinas-morre-prensado-em-maquina-que-operava.ghtml
;GO;Jandaia;Derivados de petróleo e biocombustíveis;Etanol;C19;Produção;Caldeira;Explosão;Explosão de caldeira;NaN;4;2;5;8;2018;https://g1.globo.com/go/goias/noticia/2018/08/29/explosao-atinge-destilaria-de-alcool-em-jandaia-diz-policia.ghtml
;SP;Cubatão;Química;Benzeno;C20;Armazenamento;Armazenamento/Distribuição do benzeno;Vazamento;Benzeno vazou do caminhão e foi parar no chão da distribuidora;NaN;0;0;2;10;2018;https://g1.globo.com/sp/santos-regiao/noticia/2018/10/23/vazamento-de-benzeno-durante-transporte-interdita-parte-de-refinaria-da-petrobras-em-cubatao.ghtml
;SC;Blumenau;Têxtil;NaN;C13;Armazenamento;depósitos de resíduos de algodão;Incêndio;o fogo atingiu dois abafadores de ruídos desativados e usados como depósitos;NaN;0;0;3;11;2018;https://g1.globo.com/sc/santa-catarina/sc-mais/noticia/2018/11/17/incendio-atinge-depositos-de-industria-textil-em-blumenau.ghtml
;PB;Campina Grande;Alimentos;Milho;C10;Armazenamento;Silos de milho;Desabamento;Soterramento por após rompimento de silo de milho;NaN;2;1;4;8;2018;https://g1.globo.com/pb/paraiba/noticia/2018/08/08/silo-de-milho-rompe-em-fabrica-de-campina-grande.ghtml
;PR;Paraná;Alimentos;Frutas;C10;Produção;túnel de congelamento;Vazamento;Vazamento de amônia;NaN;1;1;4;11;2018;https://g1.globo.com/pr/norte-noroeste/noticia/2018/11/07/funcionario-morre-apos-vazamento-de-amonia-em-industria-de-alimentos-em-japura.ghtml
;SP;Araçariguama;Alimentos;Alimentos de origem oriental ;C10;NaN;NaN;Incêndio;vazamento de gás inflamável;NaN;0;0;3;3;2018;https://g1.globo.com/sp/sorocaba-jundiai/noticia/vazamento-de-gas-causa-incendio-em-industria-de-alimentos-em-aracariguama.ghtml
;SP;Hortolândia;Farmacêutica;NaN;C21;Armazenamento;Estoque de matéria-prima e produtos acabados;Incêndio; fogo atingiu a área de desenvolvimento de produtos e parte do almoxarifado;NaN;0;0;5;10;2018;https://g1.globo.com/sp/campinas-regiao/noticia/2018/10/20/incendio-atinge-industria-farmaceutica-ems-em-hortolandia.ghtml
